CITY,MONUMENT,YEAR_2019_20,YEAR_2020_21,YEAR_2021_22,YEAR_2022_23,YEAR_2023_24,GROWTH_2020_21_VS_2019_20,GROWTH_2021_22_VS_2020_21,GROWTH_2022_23_VS_2021_22,GROWTH_2023_24_VS_2022_23
Sarnath,Tomb of Lal Khan,9.0,2.0,4.0,32.0,20.0,-77.8,100.0,700.0,-37.5
Shimla,Rock-cut Temples and Sculptures,1709.0,209.0,272.0,1040.0,2603.0,-87.8,30.1,282.4,150.3
Shimla,Ruined Fort kangra,1758.0,252.0,351.0,1233.0,2478.0,-85.7,39.3,251.3,101.0
Srinagar,Avantiswamin Temple Avantipur District Pulwama,32.0,8.0,6.0,99.0,385.0,-75.0,-25.0,1550.0,288.9
Srinagar,Group of Temples at kiramchi District Udhampur,4.0,0.0,8.0,9.0,12.0,-100.0,,12.5,33.3
Thrissur,Bekal Fort Pallikkare Distt. Kasargod,728.0,242.0,133.0,498.0,534.0,-66.8,-45.0,274.4,7.2
Thrissur,Fort Palakkad Palakkad,241.0,26.0,10.0,252.0,410.0,-89.2,-61.5,2420.0,62.7
Thrissur,Fort St. Angelo Kannur,3305.0,115.0,59.0,4572.0,818.0,-96.5,-48.7,7649.2,-82.1
Thrissur,Mattancherry Palace Museum Kochi,79355.0,177.01118.0,28218.0,0.0,,,,-100.0,
Tiruchirappalli,Fort Museum Thirumayam,5259.0,1555.0,27.0,713.0,694.0,-70.4,-98.3,2540.7,-2.7
Tiruchirappalli,Fort Vattakottai,340.0,36.0,0.0,158.0,242.0,-89.4,-100.0,,53.2
Tiruchirappalli,Fort on Rock Dindigual,94.0,99.0,4.0,57.0,77.0,5.3,-96.0,1325.0,35.1
Tiruchirappalli,Moovarkoil Kodumbalur,46.0,9.0,0.0,4.0,5.0,-80.4,-100.0,,25.0
Tiruchirappalli,Natural Caven with inscription eladipattam Sittannavasal,645.0,19.0,33.0,51.0,28.0,-97.1,73.7,54.5,-45.1
Tiruchirappalli,Rock-cut Jain Temple Sittannavasasl,188.0,235.0,49.0,116.0,230.0,25.0,-79.1,136.7,98.3
Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,460.0,3.0,0.0,0.0,3.0,-99.3,-100.0,,
Vadodara,Champaner Monuments Pavagadh,1948.0,81.0,43.0,806.0,1762.0,-95.8,-46.9,1774.4,118.6
Vadodara,Rani Ki-Vav Patan,3816.0,143.0,228.0,2247.0,3636.0,-96.3,59.4,885.5,61.8
Vadodara,Rudabai Step Well Adalaj,7907.0,204.0,522.0,4837.0,8090.0,-97.4,155.9,826.6,67.3
Vadodara,Sun temple Modhera,3732.0,103.0,603.0,24166.0,3886.0,-97.2,485.4,3907.6,-83.9
