State,Place,City,ImageName
maharashtra,Mahalaxmi Temple,Kolhapur,maharashtra_kolhapur_mahalaxmi_temple.jpg
rajasthan,Rishabhdeo Temple,Udaipur,rajasthan_udaipur_rishabhdeo_temple.jpg
rajasthan,Haldighati,Udaipur,rajasthan_udaipur_haldighati.jpg
rajasthan,Ahar Cenotaphs,Udaipur,rajasthan_udaipur_ahar_cenotaphs.jpg
rajasthan,Bagore Ki Haveli,Udaipur,rajasthan_udaipur_bagore_ki_haveli.jpg
maharashtra,Chandrakant Mandare Art Gallery Museum,Kolhapur,maharashtra_kolhapur_chandrakant_mandare_art_gallery_museum.jpg
maharashtra,Katyayani Devi Temple,Kolhapur,maharashtra_kolhapur_katyayani_devi_temple.jpg
maharashtra,Bhavani Mandap,Kolhapur,maharashtra_kolhapur_bhavani_mandap.jpg
rajasthan,Lake Palace,Udaipur,rajasthan_udaipur_lake_palace.jpg
maharashtra,Narsobawadi Temple,Kolhapur,maharashtra_kolhapur_narsobawadi_temple.jpg
maharashtra,Shree Chhatrapati Shahu Museum,Kolhapur,maharashtra_kolhapur_shree_chhatrapati_shahu_museum.jpg
maharashtra,Rankala Lake,Kolhapur,maharashtra_kolhapur_rankala_lake.jpg
maharashtra,Dajipur Wildlife Sanctuary,Kolhapur,maharashtra_kolhapur_dajipur_wildlife_sanctuary.jpg
maharashtra,New Palace,Kolhapur,maharashtra_kolhapur_new_palace.jpg
maharashtra,Jyotiba Temple,Kolhapur,maharashtra_kolhapur_jyotiba_temple.jpg
himachal-pradesh,Solang Nullah,Manali,himachal-pradesh_manali_solang_nullah.jpg
goa,Fort Aguada,Goa,goa_goa_fort_aguada.jpg
himachal-pradesh,Brighu Lake,Manali,himachal-pradesh_manali_brighu_lake.jpg
himachal-pradesh,Rohtang Pass,Manali,himachal-pradesh_manali_rohtang_pass.jpg
madhya-pradesh,Maharaja Chhatrasal Museum,Khajuraho,madhya-pradesh_khajuraho_maharaja_chhatrasal_museum.jpg
madhya-pradesh,Javari Temple,Khajuraho,madhya-pradesh_khajuraho_javari_temple.jpg
goa,Mhadei Wildlife Sanctuary,Goa,goa_goa_mhadei_wildlife_sanctuary.jpg
jammu-and-kashmir,Surinsar lake,Jammu,jammu-and-kashmir_jammu_surinsar_lake.jpg
himachal-pradesh,The Manali Gompa,Manali,himachal-pradesh_manali_the_manali_gompa.jpg
himachal-pradesh,Jagatsukh,Manali,himachal-pradesh_manali_jagatsukh.jpg
rajasthan,Jagat Ambika Mata Temple,Udaipur,rajasthan_udaipur_jagat_ambika_mata_temple.jpg
andhra-pradesh,Amaralingeswara Temple,Amaravati,andhra-pradesh_amaravati_amaralingeswara_temple.jpg
himachal-pradesh,Naggar,Manali,himachal-pradesh_manali_naggar.jpg
jammu-and-kashmir,Mubarak Mandi Palace,Jammu,jammu-and-kashmir_jammu_mubarak_mandi_palace.jpg
rajasthan,Kumbhalgarh Wildlife Sanctuary,Udaipur,rajasthan_udaipur_kumbhalgarh_wildlife_sanctuary.jpg
himachal-pradesh,Nehru Kund,Manali,himachal-pradesh_manali_nehru_kund.jpg
jammu-and-kashmir,Ranbireshwar Temple,Jammu,jammu-and-kashmir_jammu_ranbireshwar_temple.jpg
jammu-and-kashmir,Mansar Lake,Jammu,jammu-and-kashmir_jammu_mansar_lake.jpg
rajasthan,Dudh Talai Lake,Udaipur,rajasthan_udaipur_dudh_talai_lake.jpg
rajasthan,"Bird Park, Gulab Bagh",Udaipur,rajasthan_udaipur_bird_park_gulab_bagh.jpg
jammu-and-kashmir,Dogra Art Museum,Jammu,jammu-and-kashmir_jammu_dogra_art_museum.jpg
rajasthan,Jaisamand Lake,Udaipur,rajasthan_udaipur_jaisamand_lake.jpg
rajasthan,Udai Sagar Lake,Udaipur,rajasthan_udaipur_udai_sagar_lake.jpg
rajasthan,Moti Magri,Udaipur,rajasthan_udaipur_moti_magri.jpg
rajasthan,Vintage and Classic Car Museum,Udaipur,rajasthan_udaipur_vintage_and_classic_car_museum.jpg
rajasthan,Jal Mahal,Jaipur,rajasthan_jaipur_jal_mahal.jpg
rajasthan,Saheliyon Ki Bari,Udaipur,rajasthan_udaipur_saheliyon_ki_bari.jpg
rajasthan,Shri Manshapurna Karni Mata,Udaipur,rajasthan_udaipur_shri_manshapurna_karni_mata.jpg
rajasthan,Jagdish Temple,Udaipur,rajasthan_udaipur_jagdish_temple.jpg
rajasthan,Badi Lake,Udaipur,rajasthan_udaipur_badi_lake.jpg
rajasthan,Fateh Sagar Lake,Udaipur,rajasthan_udaipur_fateh_sagar_lake.jpg
rajasthan,Kumbhalgarh Fort,Udaipur,rajasthan_udaipur_kumbhalgarh_fort.jpg
rajasthan,Lake Pichola,Udaipur,rajasthan_udaipur_lake_pichola.jpg
sikkim,Do Drul Chorten,Gangtok,sikkim_gangtok_do_drul_chorten.jpg
gujarat,Shivrajpur Beach,Dwarka,gujarat_dwarka_shivrajpur_beach.jpg
madhya-pradesh,Diwan Hardaul Palace,Orchha,madhya-pradesh_orchha_diwan_hardaul_palace.jpg
madhya-pradesh,Orchha Wildlife Sanctuary,Orchha,madhya-pradesh_orchha_orchha_wildlife_sanctuary.jpg
