CITY,MONUMENT,YEAR_2019_20,YEAR_2020_21,YEAR_2021_22,YEAR_2022_23,YEAR_2023_24,GROWTH_2020_21_VS_2019_20,GROWTH_2021_22_VS_2020_21,GROWTH_2022_23_VS_2021_22,GROWTH_2023_24_VS_2022_23
Mumbai,Elephanta Caves,686862.0,82136.0,219837.0,464428.0,476532.0,-88.0,167.6,111.3,2.6
Mumbai,Janjira Fort Murd,253315.0,149221.0,187947.0,276453.0,291382.0,-41.1,26.0,47.1,5.4
Mumbai,Kolaba Fort Alibag,112405.0,50421.0,33073.0,43176.0,85088.0,-55.1,-34.4,30.5,97.1
Mumbai,Kondiote Caves,41490.0,167.0,9373.0,43419.0,23859.0,-99.6,5512.6,363.2,-45.0
Mumbai,Lohgad Fort,161651.0,31042.0,85972.0,275845.0,136790.0,-80.8,177.0,220.9,-50.4
Mumbai,Old Fort Sholapur,62238.0,11293.0,5755.0,35485.0,42956.0,-81.9,-49.0,516.6,21.1
Mumbai,Raigad Fort,218338.0,76438.0,172058.0,297029.0,219556.0,-65.0,125.1,72.6,-26.1
Mumbai,Shaniwarwada,1128072.0,160547.0,516448.0,1079741.0,1260792.0,-85.8,221.7,109.1,16.8
Nagpur,Ancient Buddhist Remains comprising monstery stupa rock sculptures inscriptions ect Mansar,1596.0,8.0,1906.0,3685.0,3901.0,-99.5,23725.0,93.3,5.9
Nagpur,Gawilgarh Fort,43795.0,5.0,9219.0,22777.0,29842.0,-100.0,184280.0,147.1,31.0
Patna,Ancient Site of Vikramshila Antichak,65573.0,27583.0,33322.0,75411.0,79240.0,-57.9,20.8,126.3,5.1
Patna,Ancient site of Vaishali Kolhua,89631.0,49207.0,46095.0,108428.0,71084.0,-45.1,-6.3,135.2,-34.4
Patna,Excavated Remains at Nalanda,437506.0,105748.0,179597.0,390047.0,492386.0,-75.8,69.8,117.2,26.2
Patna,Remains of Patliputra Site of Mauryan Palace Kumrahar,109962.0,25834.0,81013.0,110985.0,125570.0,-76.5,213.6,37.0,13.1
Patna,Sher Shah's Tomb,208177.0,95051.0,166266.0,261548.0,302528.0,-54.3,74.9,57.3,15.7
Raiganj,Cooch Bihar Palace,465553.0,126135.0,228176.0,608776.0,685216.0,-72.9,80.9,166.8,12.6
Raiganj,Hazarduari Palace,674113.0,361546.0,357127.0,910336.0,983025.0,-46.4,-1.2,154.9,8.0
Raipur,Temple of Laxman and Old sites including sculptures sirpur,63759.0,44742.0,53049.0,62971.0,85422.0,-29.8,18.6,18.7,35.7
Rajkot,Asokan Rock Edict Jungadh,6176.0,10498.0,31685.0,29110.0,26193.0,70.0,201.8,-8.1,-10.0
Rajkot,Baba Pyara Caves Junagadh & Khapra Khodiya Caves Junagadh,5858.0,1691.0,2715.0,2809.0,2895.0,-71.1,60.6,3.5,3.1
Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,55144.0,14956.0,21997.0,53748.0,47495.0,-72.9,47.1,144.3,-11.6
Sarnath,Excavated Remains at sarnath,485309.0,170590.0,328684.0,755062.0,776827.0,-64.8,92.7,129.7,2.9
Sarnath,Lord Cornwallis Tomb,18318.0,5289.0,7086.0,9148.0,15008.0,-71.1,34.0,29.1,64.1
Sarnath,Observatory of Man Singh,83059.0,21379.0,36267.0,61542.0,135280.0,-74.3,69.6,69.7,119.8
Sarnath,Old Fort (Shahi Fort) Jaunpur,198922.0,67163.0,123344.0,167409.0,181562.0,-66.2,83.6,35.7,8.5
Sarnath,Tomb of Lal Khan,6819.0,1972.0,2515.0,4804.0,4480.0,-71.1,27.5,91.0,-6.7
Shimla,Rock-cut Temples and Sculptures,73439.0,53123.0,40771.0,51355.0,52434.0,-27.7,-23.3,26.0,2.1
Shimla,Ruined Fort kangra,91306.0,100454.0,81894.0,124883.0,137731.0,10.0,-18.5,52.5,10.3
